City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kaitangata,NZ,-46.2817,169.8464,50.05,81,89,9.13,overcast clouds
80,Tigil,RU,57.8,158.6667,-3.71,100,62,4.83,broken clouds
81,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,69,20,10.36,few clouds
82,Bambui,BR,-20.0064,-45.9769,81.72,49,96,5.53,overcast clouds
83,Kudahuvadhoo,MV,2.6708,72.8944,80.46,78,100,12.48,heavy intensity rain
84,Ibra,OM,22.6906,58.5334,72.1,47,1,1.59,clear sky
85,Ilhabela,BR,-23.7781,-45.3581,75.06,82,31,6.24,scattered clouds
86,New Norfolk,AU,-42.7826,147.0587,53.1,90,100,0.49,light rain
87,Yellowknife,CA,62.456,-114.3525,27.12,93,20,5.75,few clouds
88,Victoria,HK,22.2855,114.1577,75.38,82,7,11.01,clear sky
89,Gorom-Gorom,BF,14.4439,-0.2361,87.87,17,23,8.81,few clouds
90,Thompson,CA,55.7435,-97.8558,14.16,79,75,3.44,broken clouds
91,Porto Santo,PT,33.072,-16.3415,70.18,73,20,6.91,few clouds
92,Puerto Ayora,EC,-0.7393,-90.3518,76.96,81,31,7.0,scattered clouds
93,Jamestown,US,42.097,-79.2353,35.71,76,100,11.01,snow
94,Kautokeino,NO,69.0125,23.0412,29.43,95,100,3.87,overcast clouds
95,Ghanzi,BW,-21.5667,21.7833,80.82,27,0,6.15,clear sky
96,Ostrovnoy,RU,68.0531,39.5131,34.97,67,100,17.74,light snow
97,Savanur,IN,14.9667,75.35,70.07,90,63,9.46,broken clouds
98,Tuktoyaktuk,CA,69.4541,-133.0374,15.8,86,100,9.22,mist
99,Butaritari,KI,3.0707,172.7902,79.66,74,100,13.58,overcast clouds
100,Upernavik,GL,72.7868,-56.1549,22.75,68,100,4.34,overcast clouds
101,Bonthe,SL,7.5264,-12.505,79.47,80,99,4.92,overcast clouds
102,Saskylakh,RU,71.9167,114.0833,-6.56,95,100,11.01,overcast clouds
